title,year,genre,runtime,rating,synopsis,director,vote
Bala,(2019),"
Comedy            ",133 min,7.4,"
    It tells the story of a man who is balding prematurely and how he copes up with the situation.",Amar Kaushik,9625
Playing with Fire,(I) (2019),"
Comedy, Family            ",96 min,4.9,"
    A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.",Andy Fickman,7934
Gli uomini d'oro,(2019),"
Crime, Drama            ",110 min,5.6,"
    A group of desperate men, unsatisfied by their lives, decides to attempt a heist to a postal armored truck guard.",Vincenzo Alfieri,463
Last Christmas,(2019),"
Comedy, Drama, Romance            ",103 min,6.5,"
    Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",Paul Feig,34490
Synapses,(2019),"
Drama            ",116 min,6.6,"
    There are many problems in the Zhang family, but one eventful summer changes many things. Zhang Junxiong is diagnosed with Alzheimer's, and that weighs heavily on his wife Wang Feng and the...                See full summary »
",Tso-chi Chang,61
Recep Ivedik 6,(2019),"
Comedy            ",110 min,2.8,"
    The sixth adventure of Turkish box office record holder comedy character, Recep Ivedik. Surprisingly Recep founds himself in Kenya instead of Konya (an Anatolian city of Turkey) and the adventure begins...",Togan Gökbakar,4233
Ninna,(2019),"
Comedy            ",90 min,6.8,"
Add a Plot
",Fabian Wullenweber,23
The Happiness Effect,(2019),"
Drama            ",,8.2,"
    Lea, 21, is being diagnosed with leukemia. Having no time left she starts appreciating every hour, seeing beauty where she's never seen before. Hoping she could change the world, Lea makes ...                See full summary »
",Borjan Zafirovski,13
Frozen II,(2019),"
Animation, Adventure, Comedy            ",103 min,6.9,"
    Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",Chris Buck,111192
Akim,(2019),"
Comedy            ",110 min,6.7,"
Add a Plot
",Nurtas Adambay,25
Khalepa na 5 Baksiv,(2019),,80 min,6.3,"
Add a Plot
",Myroslav Latyk,29
Novogodniy remont,(2019),,83 min,4.0,"
Add a Plot
",Artur Pinkhasov,23
Devyataya,(2019),"
Adventure, Crime, Mystery            ",99 min,5.2,"
    Petersburg at the end of the 19th century was embraced by a massive enthusiasm for the occult sciences and esotericism. British medium Olivia Reed arrives in the capital of the Russian ...                See full summary »
",Nikolay Khomeriki,231
Cartero,(2019),"
Drama            ",80 min,6.5,"
    Hernán, a young man full of hopes and dreams, gets a job at the Central Post Office. There, a colleague teaches him the code of conduct but reality will force him to break the rules.",Emiliano Serra,11
Mylene Farmer 2019 - The Film,(2019),"
Music            ",134 min,8.5,"
    After a six-year break, Mylene Farmer triumphantly returned to the stage, giving a series of concerts in famous La Defense Arena. The program includes much-loved hits and also songs from the new album Desobeissance ('Defiance').",François Hanss,43
Amigo de nadie,(2019),"
Drama            ",105 min,6.7,"
    Julian grows along his best friend, Felipe, and a group of boys meant to live with all the advantages of the privileged class. However, violence and mobster mentality transform their ...                See full summary »
",Luis Alberto Restrepo,44
Yedu Chepala Katha,(2019),"
Romance            ",124 min,5.7,"
    Ravi has weakness for women and gets into a physical relationship with ladies. One day, he falls in love with Bhavana. He has a heath issue, which requires blood. Why is he in a relationship with many women and what will happen to his love",Sam J. Chaitanya,31
The Divine Move 2: The Wrathful,(2019),"
Action            ",106 min,6.3,"
    In the 1990s, when Go gambling fever swept Korea, Gui-su loses everything because his father gambled obsessively until there was nothing left. Left all alone in the world, Gui-su meets a ...                See full summary »
",Khan Lee,149
Ratu Ilmu Hitam,(2019),"
Horror, Mystery, Thriller            ",99 min,6.9,"
    Families were terrorized at the orphanage. Someone wants them dead, apparently with black magic that is very deadly. She has a grudge and she was also born because of the sins of the orphans who formed her into the Queen of Black Magic.",Kimo Stamboel,429
In Paradox,(2019),"
Mystery, Thriller            ",95 min,6.0,"
    While being relentlessly attacked, a Man seeks to uncover a mystery and stop the unknown memories that are controlling him, only to learn the difference between reality and illusions.",Hamad AlSarraf,89
National Theatre Live: Hansard,(2019),"
Drama            ",80 min,8.4,"
    On a summer's morning in 1988, a Tory politician and his wife begin to dig up buried secrets.",Simon Godwin,34
The Big Love Picture,(2019),"
Comedy, Romance            ",88 min,7.9,"
    A director and actress of a movie inside a movie come to the realization that they have fallen out of love, and attempt to spark something anew.",Sebastián Mega Díaz,7
Zenská na vrcholu,(2019),"
Comedy, Romance            ",107 min,4.2,"
    When natural elements turn Christmas vacation into involuntary prison at an mountain hut and the children decide to take their parent's fate into their own hands, a romantic comedy can start.",Lenka Kny,58
The Blackout,(2019),"
Drama, Thriller            ",120 min,4.9,"
    A present day story of a young destitute son that loses the only hope he thought he had. How to find a new one is a challenge? Would he make it out alive? It's a story about love, betrayal,...                See full summary »
",Charles Kassatly,9
Primal,(2019),"
Action            ",97 min,4.8,"
    Frank's caught wildlife in the Brazilian jungle incl. a 400 lbs. white jaguar. He ships it on the same ship as an arrested assassin. The assassin breaks free and frees the animals.",Nick Powell,3553
I Love You,(III) (2019),"
Drama            ",,5.4,"
    When an ambitious young man takes a big gamble on a sure deal, he gets sucked into L.A.'s party lifestyle, bringing pain and ruin to those closest to him. A retelling of the Biblical parable of the prodigal son.",Lukas Colombo,29
Cheshm O Goosh Baste,(2019),"
Action, Comedy            ",93 min,4.9,"
    A man is killed by a criminal woman and two strangers are arrested for murder. One has not seen the murder scene because he is blind, and the other has only seen the scene because he is ...                See full summary »
",Farzad Motamen,94
The Singer,(2019),"
Comedy, Drama, Music            ",107 min,4.5,"
    Ibrahim is a nightclub singer who, like other singers of that era and is being removed from the scene with the 1979 revolution. Eventually he becomes the singer of various ceremonies but he doesn't agree with them to be called Motreb.",Mostafa Kiayee,747
Slayer: The Repentless Killogy,(2019),"
Music            ",131 min,6.8,"
    'Slayer: The Repentless Killogy' is a short narrative film written and directed by BJ McDonnell, that blends the music of Slayer with an uncompromising and unmissable, trilogy of music videos assembled as one chronological story-line.",BJ McDonnell,233
Starting Up Love,(2019),"
Romance            ",,6.1,"
    A young finance executive inherits her uncle's mountain cabin only to discover that he also left half of it to the ruggedly handsome handyman that had been caring for it.",Tim Cruz,13
Acceleration,(2019),"
Action, Crime, Thriller            ",85 min,4.6,"
    A mom has one night to do some tasks in LA requiring a gun, if she wants to see her son alive. He's held by a mob boss.",Michael Merino,891
Pun mjesec,(2019),"
Drama            ",85 min,7.8,"
Add a Plot
",Nermin Hamzagic,24
All About Who You Know,(2019),"
Comedy            ",111 min,5.3,"
    An aspiring screenwriter writes his most ambitious script to date by plotting out a rom-com relationship with the daughter of his screenwriting idol, all in hopes of meeting her legendary father and getting a leg up in showbiz.",Jake Horowitz,92
A Kiss on Candy Cane Lane,(2019),"
Drama            ",80 min,4.6,"
    A romantic drama in the backdrop of Christmas time in Wisconsin, revolving around two college sweethearts who rekindle their love during the holiday season.",Stephanie McBain,74
Ellipse,(2019),"
Sci-Fi            ",76 min,2.6,"
    A man and his dog are stranded on a volatile, oval-shaped planet and are forced to adapt and escape before time destroys them both.",Joe Bland,186
The Experience,(2019),"
Drama            ",95 min,5.7,"
    At a wilderness camp for troubled youth, two girls Scarlet and Dylan form a bond that gets tested by love, money, and experiences beyond their perceived realm of existence.",Katerina Gorshkov,56
Undercover Brother 2,(2019),"
Comedy            ",84 min,3.4,"
    A sequel to the 2002 comedy, ""Undercover Brother"".",Leslie Small,400
Occidente,(2019),"
Thriller            ",99 min,4.7,"
Add a Plot
",Jorge Acebo Canedo,10
My Adventures with Santa,(2019),"
Family            ",92 min,4.7,"
    Christmas in the Nolan household isn't what it used to be. On a last minute shopping trip with Dad, the family enters an enchanted store only to discover a dazzling snow globe with magical powers.",Brian Skiba,92
Bike Boyz,(2019),"
Comedy, Drama            ",95 min,7.2,"
    When Agus wanted to help Lilis look for her husband who had not come home for three months and was not patient, Vespa Agus was taken away by someone.",Aris Nugraha,9
A Dragon Adventure,(2019),"
Animation            ",70 min,3.2,"
    After communicating with devious Emrick the Wizard in a dream, King Bedwyr asks his favorite wee dragons, Boil and Cai, to bury the hatchet with the Wee Kingdoms longstanding enemy, Durwyn the dragon.",Alex Sebastian,33
Cyber Bride,(2019),"
Sci-Fi            ",90 min,2.3,"
    After his wife tragically dies, a desperate widowed husband finds a service online that can bring her back - But not all is as it seems.",Louisa Warren,104
School of the Damned,(2019),"
Horror, Thriller            ",85 min,3.7,"
    When a new teacher arrives at school he finds students that are extremely well behaved and soon uncovers a special class of very young children forming a hive mind, keeping the students and teachers calm and focused with murderous results.",Peter Vincent,82
The Last Request,(2019),"
Drama            ",90 min,7.3,"
    Two brothers wake up in a strange house and must play a deadly game in order to get their child back.",Dallas Ryan,61
American Christmas,(2019),"
Comedy            ",80 min,4.0,"
    It took another ruined Christmas dinner to make Martha finally realize: her kids are jerks. Daughter, Penny is a 42-year old bully who's still letting Prom Queen go to her head. Son, Danny,...                See full summary »
",Jaymes Camery,139
Les vétos,(2019),"
Comedy, Drama            ",92 min,6.1,"
    In the heart of Morvan, Nico, the last vet in the area, struggles to save his patients, his clinic, and his family. When Michel, his partner and mentor, announces his retirement, Nico knows...                See full summary »
",Julie Manoukian,153
The Christmas Cabin,(2019),"
Comedy, Romance            ",85 min,5.1,"
    When Seth unknowingly interrupts Sammi's quiet holiday getaway at her family cabin, their hearts get more than they bargain for; The Christmas Cabin is a romantic comedy about finding ...                See full summary »
",Dustin J. Robison,153
Christmas at the Chateau,(2019),"
Romance            ",98 min,3.7,"
    How will 3 sisters save the Shakespeare Chateau, historic mansion and beloved family home, from a corrupt bank that threatens to foreclose on Christmas Day? Especially when one of them falls in love with one of the bankers.",Jason Hudson,126
Lie Exposed,(2019),"
Drama            ",93 min,4.5,"
    Melanie experiences a terminal diagnosis, leading her to leave her husband and life behind for LA and an affair with a tintype photographer.",Jerry Ciccoritti,14
Apostratos,(2019),"
Comedy, Drama            ",100 min,6.9,"
    A 30-something failed businessman moves into his grandpa's house, the defunct WW2 veteran. His quest to live up to his legacy, will redefine both the family hero and himself.",Zacharias Mavroeidis,198
Tezuka's Barbara,(2019),"
Fantasy, Mystery            ",100 min,5.6,"
    An author develops a near-insane obsession with a mysterious woman.",Macoto Tezuka,28
Persephone,(I) (2019),"
Drama, Music, Romance            ",88 min,7.7,"
    A Greek-Japanese Cine-Operetta, where the ancient Greek myth of the Abduction of Persephone comes alive before the eyes of a Japanese group, as the arrival of a stranger man forces the ...                See full summary »
",Costas Athousakis,18
The Honeymoon Phase,(2019),"
Horror, Sci-Fi, Thriller            ",,6.8,"
    Struggling young lovers, Tom and Eve, must endure a 30-day scientific experiment. Room, board, $50,000 and a month alone together in research facility housing. What could possibly go wrong.",Phillip G. Carroll Jr.,20
Ardara,(2019),"
Drama            ",120 min,4.9,"
    Macià from Ciutadella, and Bruna and Maria from Barcelona, all 3 in their twenties, come to meet in the Irish town of Ardara and share an adventuresome summer.",Raimon Fransoy,9
To tholami,(2019),"
Crime, Drama            ",76 min,4.8,"
    Athens. The last day of a female member of an illegal terrorist organization. Despina shoots, kills, wanders around the city, tries to find help, fails in every attempt, gets shot, dies in ...                See full summary »
",Vassilis Noulas,13
Christmas with a Prince: Becoming Royal,(2019),"
Romance            ",,5.6,"
    Its Christmas again and Dr Tasha is on her way to meet Prince Alexander in St. Savarre. Though this is a happy time it is also a very stressful as a treaty is being negotiated between St. ...                See full summary »
",Justin G. Dyck,202
Jwlwi - The Seed,(2019),"
Drama            ",90 min,7.9,"
    Set in Assam's insurgency ridden 90s, Jwlwi- The Seed is a story of hope lost and found through resolute perseverance even in the face of seemingly insurmountable odds.",Rajni Basumatary,7
Scarecrow's Revenge,(2019),"
Horror            ",93 min,2.1,"
    A Viking Warrioress must step up when a heathen, banished from her village gives up his mortal soul in exchange for the near indestructible form of a demonic Scarecrow. As warriors fall to the vengeful Scarecrow, it's down to Greta to save her village from annihilation.",Louisa Warren,77
Ask the Cheat,(2019),"
Comedy, Crime, Thriller            ",90 min,7.7,"
    Ben is caught cheating in his final A-level maths exam by his teacher, Ms Bushnell. In return for not reporting Ben she asks him to do her a favour, help kidnap her cheating husband, a task neither are cut out for.",Raza Mallal,17
Beast No More,(2019),"
Horror, Thriller            ",,5.8,"
    A young biologist suffering the loss of a child escapes suburbia in favor of the Australian bush. Amidst her grief she is offered the chance to be a mother again, only it comes at a cost.",Aaron Warwick,14
Wild Boar,(2019),"
Horror, Sci-Fi            ",98 min,2.2,"
    A hidden colony of blood thirsty mutant pig-men prey on innocent humans who cross their path.",Barney Burman,65
My Little Pony: Equestria Girls - Holidays Unwrapped,(2019),"
Animation, Comedy, Family            ",44 min,7.3,"
Add a Plot
",Katrina Hadley,24
Den akoume ta tragoudia,(2019),"
Comedy, Drama, Romance            ",81 min,7.7,"
    Nick and Nora invite Angelos, an escort, for the night. Once upon a time, Nick and Nora fell in love at first sight; like all couples that fall in love at first sight, now they're almost happy.",Takis Papanastasiou,20
Katsuben!,(2019),"
Drama            ",126 min,6.1,"
    Set in early 20th Century Japan, the movie follows the adventures of a young man who wants to get into the movie business -- but in a job unique to his country: a dramatic narrator for ...                See full summary »
",Masayuki Suo,66
DanTDM Presents The Contest,(2019),,,2.5,"
    YouTube superstar DanTDM is bringing his show ""DanTDM Presents The Contest"" to your local cinema. ""DanTDM Presents The Contest"" is an interactive in-cinema event that provides you with an engaging gaming experience and immersive story.",James Kermack,26
Aakashaganga II,(2019),"
Horror            ",142 min,2.3,"
    Arathi, accepts a challenge to test the authenticity of an 'Ashram' that claims to help its followers talk to the dead. To her surprise, she communicates with her dead mother who leads her to the dark and hidden secrets of her own family.",Vinayan,145
Closed Ward,(2019),"
Crime, Drama            ",117 min,5.3,"
    Three patients of different backgrounds, illnesses and stages are being treated at a psychiatric clinic in Nagano Prefecture. Their cases range from the criminal to merely asocial. That ...                See full summary »
",Hideyuki Hirayama,34
Kedara,(2019),"
Drama            ",114 min,7.0,"
    Narasingha, an old ventriloquist and 'horbola' lives in a decrepit locality of Kolkata. Once a favourite among children, he barely manages to survive now and is reduced to a shabby madman. ...                See full summary »
",Indraadip Dasgupta,106
Motel Acacia,(2019),"
Horror            ",92 min,3.1,"
    It is about a young Filipino man who is groomed by his tyrannical Caucasian Father to take over Motel Acacia which is tasked with exterminating immigrants by the government.",Bradley Liew,137
The Christmas Tree Lot,(2019),"
Family            ",60 min,5.6,"
    When two friends decide to open a Christmas Tree Lot to make some extra cash they didn't know they would be re-discovering the true meaning of Christmas.",Sterling Johnston,5
Under World,(2019),"
Action, Crime, Thriller            ",160 min,5.7,"
    Story of a group of people who must navigate the dark and dirty games of Kerala's underworld as they chase illegal money.",Arun Kumar,303
De dødes tjern,(2019),"
Drama, Horror, Mystery            ",94 min,4.2,"
    Lillan and some friends travel back to the remote cabin by the little lake, where her twin brother died last year, and soon after arriving strange things starts happening. Inspired by the 1958 classic horror film.",Nini Bull Robsahm,167
Beast of Our Fathers,(2019),"
Thriller            ",102 min,2.8,"
Add a Plot
",Josh Menning,19
Dark Ditties Presents: The Witching Hour,(2019),"
Horror            ",,6.9,"
    Samantha has been having nightmares about a dark figure called Tyberius Krane. Finally seeking help after years of rejection Samantha contacts Selwyn Parsons and Marvin La'Fantome, the hosts of paranormal TV 'The Witching Hour'.",Adam Evans,8
Holiday in the Wild,(2019),"
Comedy, Drama, Romance            ",85 min,6.1,"
    Jilted by her husband on the eve of embarking on an African safari, a woman travels to the continent alone where she meets an elephant conservationist.",Ernie Barbarash,9714
El diablo me dijo qué hacer,(2019),"
Horror            ",83 min,4.6,"
    A young man with mental problems kidnaps a doctor dedicated to the sale of medical insurance in order that he confess his sins.",Alejandro G. Alegre,7
The God Cafe,(2019),"
Drama            ",,2.4,"
    A worship pastor and successful Christian music artist faces a crisis when his marriage and career begin to collapse. Can an encounter with two mysterious strangers awaken him to peace that transcends understanding?",Stan Severance,19
Unholy Night,(I) (2019),"
Comedy, Horror            ",85 min,4.7,"
    Unholy Night is an anthology film about a lonely nurse working the overnight shift on Christmas Eve. She befriends an elderly patient who weaves a wicked set of tales about the most ...                See full summary »
",Chris Chitaroni,90
Blurred Vision,(2019),"
Thriller            ",,8.2,"
    ANDRÈ (32) and his newfound girlfriend ELISA (35) are pregnant with their first child. Full of hope for the new life to come, they move to the countryside to get closer to Elisa's mother, ...                See full summary »
",Ivan Elmer,27
Drive,(I) (2019),"
Action, Thriller            ",147 min,2.5,"
    A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.",Tarun Mansukhani,3278
Abstruse,(I) (2019),"
Action, Crime, Thriller            ",117 min,4.2,"
    Two young women get themselves into a very compromising situation that proves life changing, the aftermath is almost worse as all trails of the event has been wiped out and all of a sudden ...                See full summary »
",Harley Wallen,507
Dedicada a mi Ex,(2019),"
Comedy            ",94 min,7.5,"
    A band of misfits enter a music video contest in order to win a cash prize, but don't realize they actually have to be good at playing music.",Jorge Ulloa,282
American Criminal,(2019),"
Thriller            ",100 min,7.0,"
    A filmmaker's dream, Blue Lives Matter will be one of the only movies ever to be filmed entirely in one shot ...A police officer, a prosecutor, a judge, and a forensic scientist conspire to...                See full summary »
",Dylan Bank,436
Enigma,(I) (2019),"
Horror, Mystery, Thriller            ",100 min,6.9,"
    Two Detectives are searching for clues to some very unique murders. A close friend finding her faith in search to clear her friend and a very bad man make up the main characters to this thriller.",Harley Wallen,223
Arctic Dogs,(2019),"
Animation, Adventure, Comedy            ",92 min,4.5,"
    An Arctic fox works in the mailroom of a package delivery service, but wants to be doing the deliveries.",Aaron Woodley,1061
Till Death Do We Rot,(2019),"
Horror            ",80 min,3.6,"
    A romantic horror comedy about a wife, her zombie husband and the gossiping wenches who want her out of their neighborhood.",Emir Skalonja,45
Oh No! Ivor the Dance King and some of his friends try to save the world!!,(2019),"
Comedy            ",81 min,7.7,"
    Our comedy heroes Gatis, David and Ivor must do battle with the plastic pumpkin head wind-up toy monster which wants to create a world of monsters while trying to complete their film about crazy roosters wreaking relentless revenge.",Ivor Dehaney,6
Babru,(2019),"
Thriller            ",124 min,6.8,"
    A breathtaking thriller about two strangers with different motives, brought together by a common language, and an epic road trip across the United States that takes interesting twists at every turn. Some journeys change destinies.",Sujay Ramaiah,169
The Danish Boys,(2019),"
Drama            ",96 min,5.8,"
    In a Copenhagen motel, a politician's hookup doesn't go to plan. Meanwhile at a nightclub, a mother and son are connected via song. Whereas in the suburbs, a football team prepares for the big outing - of one of its players.",Lior Cohen,9
Upyri,(2019),"
Horror            ",77 min,2.2,"
    The company of young people falls into the outback by a secret lake, facing a mystic horror that is happens on Kupala night (a traditional Eastern Slavic Holliday, which is related to the ...                See full summary »
",Andrey Grinko,13
While You Still Can,(2019),"
Drama            ",55 min,9.4,"
    Three friends are spending their last summer as kids being motivated by the idea of making a movie.",Anton Kolev,8
Jouliks,(2019),"
Drama            ",114 min,7.2,"
    Vera and Zak meet while Vera sells her charms and the Zak makes small jobs to survive. Enthralled by an instant love, they settle down in a decrepit house where Yanna, their daughter whom they raise in a spirit of freedom, is soon born.",Mariloup Wolfe,41
The Chuck Band Show,(2019),"
Comedy            ",97 min,5.4,"
    Each year six in 100,000 men are diagnosed with testicular cancer. But this time cancer picked the wrong man. The protagonist of the film is a real loser - radio DJ Chuck Berger. His wife ...                See full summary »
",Al Wallcat,21
Khari Biscuit,(2019),"
Drama            ",106 min,8.3,"
    Khari Biscuit is a tender and moving tale of two siblings. A five year old blind girl Khari wishes to do something unachievable, its something that is beyond her brother, Biscuit's reach. A...                See full summary »
",Sanjay Jadhav,26
Ujda Chaman,(2019),"
Comedy            ",120 min,7.0,"
    Chaman Kohli is 30 -year-old bachelor with Premature Balding and in quest of a beautiful wife. Chaman hits rock bottom when an astrologer gives him a deadline to find himself a wife or remain a celibate forever.",Abhishek Pathak,4336
Marne Bhi Do Yaaron,(2019),"
Comedy            ",130 min,4.5,"
    A young man makes failed suicide attempts until he meets a bystander who insists on helping him in return for money.",Kashmira Shah,59
Shady White,(2019),"
Crime, Thriller            ",85 min,6.6,"
    A notorious lowlife returns to his violent past after he's framed for murder by the Dixie mob. He has three days to find those responsible, while avoiding old enemies, scorned exes, corrupt cops, and the one woman he truly loves.",Robert Kirkpatrick,57
Ranganayaki,(2019),"
Drama            ",,9.6,"
    This story deals with a gang-rape victim who boldly handles the ""after effects"" of the incident in the social structure along with the other characters that surround her. All this, apart from pursuing the related legal case.",Dayal Padmanabhan,115
Daaka,(2019),"
Action            ",136 min,7.5,"
    Shinda tries robbing a bank so he can be wealthy enough to marry the love of his life. He ends up getting caught, but it turns out that he has a much bigger plan in mind, involving one of Punjab's biggest criminals.",Baljit Singh Deo,71
A Grunt's Life,(2019),"
Comedy            ",116 min,7.7,"
    On a remote patrol base in Helmand Province of Afghanistan in 2008, Marine Lieutenant Vinny Murphy fights to protect his Marines from the local insurgents and his self-serving Commander, Captain Berry.",Donny O'Malley,26
Labyrinth of Cinema,(2019),"
War            ",179 min,6.1,"
    The story centers on a group of young people who travel back in time when they are in a movie theater just before closing time. They witness deaths during the closing days of Japan's feudal...                See full summary »
",Nobuhiko Ôbayashi,18
Buro Sadhu,(2019),"
Drama            ",96 min,7.3,"
    Buro Sadhu is a film which speaks about a man's journey from boyhood to manhood - his disturbed family life, his relationships and his passion for films as a medium of storytelling.",Vik,34
Saisho no Bansan,(2019),"
Drama, Family            ",127 min,5.0,"
    Under the helm of rookie director Tokiwa Shiro,a family reunites following the funeral, last rites and cremation for a meal. The widow has determined that she will cook the food for the ...                See full summary »
",Shiro Tokiwa,23
Urban Fears,(2019),"
Comedy, Horror            ",70 min,4.0,"
    Most horror stories take place in suburban areas, but these three teenagers are about to realize that those are not the only places where these things happen.",Nicholas Michael Jacobs,179
Matinee,(2019),"
Romance            ",124 min,4.0,"
    Mr. Makino is an artist with a spectacular talent. He is deeply admired for his incredibly adept and progressive classical guitar playing. As part of his work, as well as her work, the ...                See full summary »
",Hiroshi Nishitani,33
Araf 3: Cinler Kitabi,(2019),"
Horror            ",86 min,2.7,"
Add a Plot
",Biray Dalkiran,29
Badland,(I) (2019),"
Western            ",117 min,5.7,"
    Detective Matthias Breecher is hired to track down the worst of the Confederate war criminals. As he roams the Old West seeking justice, his resolve is tested when he meets a determined pioneer woman who is far more than she seems.",Justin Lee,1723
Aaviri,(2019),"
Drama, Thriller            ",,4.5,"
    After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.",Ravi Babu,63
Twinkle Twinkle,(2019),"
Horror            ",148 min,4.4,"
    At the request of a friend J (Lee Banton) to his 2 best friends the dream of a final camping trip before he gets married is a must , but the friends soon find out that fun turns to terror ...                See full summary »
",Carlo Bath,12
Before it's too late,(2019),"
Drama            ",73 min,7.9,"
    Ali is an old and poor tailor from Tunis who spends his time looking for a buried treasure in an underground gallery in his house. One day, he finds himself stuck with his wife and children...                See full summary »
",Majdi Lakhdar,15
#Iamhere,(2019),"
Comedy            ",97 min,6.0,"
    Stéphane lives a quiet life as an eminent French Chef but when he decides to visit Soo, a mysterious Korean lady he fell in love with on Instagram, he'll embark on an adventurous journey full of discoveries.",Eric Lartigau,294
Thipparaa Meesam (Telugu),(2019),"
Romance            ",152 min,6.4,"
    An extremely talented DJ working in a local night pub, who is also a spoiled brat, gets involved in an adventure where he must fight against all odds to survive.",Krishna Vijay,74
Untitled Russian Razor Massacre Spin-Off,(2019),"
Action, Comedy, Horror            ",,2.8,"
    Peter, having just escaped from prison, nicknamed ""Boneface"", plans to find the culprit of the fire of his house and take revenge at all costs.",Evgeniy Mishukhin,5
Mont Foster,(2019),"
Drama            ",105 min,6.4,"
    The life of a couple takes a dramatic turn during a stay in the country.",Louis Godbout,10
Amnestie,(2019),"
Thriller            ",130 min,7.3,"
    Inspired by true events of the 1989 Czechoslovak Velvet Revolution and Václav Havel's controversial release of 23.000 prisoners.",Jonás Karásek,72
Deathcember,(2019),"
Horror            ",145 min,5.1,"
    A collection of 24 films that take a look at the dark side of the festive season. 24 international directors with the most diverse ideas and styles; linked by short animated segments that deal with the Advent calendar itself.",Lazar Bodroza,106
Halloween: Unforgiving,(2019),"
Horror            ",27 min,7.5,"
    A 'Halloween' Fan Film that returns us to Haddonfield 10 years after the events of 'Halloween : Resurrection'. Dr. Loomis' grandson picks up where he left off. This time evil gets laid to rest.",Ryan Gregory,6
Bedhab,(2019),"
Mystery            ",,6.8,"
    A rich ill mannered Jingle Composer is left by his love of life Anya and is visited by a modern age God Of Death (Yamraaj) , who offers to take his life in a unique way via a special deal, will he find a way out or will he give up and succumb to God of Death's plan? Will Anya come back in his life?",Akash Goila,24
Alone Together,(II) (2019),"
Comedy, Drama            ",73 min,5.3,"
    A college freshman tries to win back his ex-girlfriend, Calamity, despite the best efforts of his lesbian roommate.",Joshua Walquist,20
The Accidental Rebel,(2019),"
Drama            ",108 min,7.6,"
    Young Syrian Karim travels from Germany to Syria to save his brother. A surprising perspective and a very personal take on one of the largest conflicts of our time.",Randa Chahoud,12
Causa Justa,(2019),"
Drama, War            ",,6.3,"
    In the early morning hours of December 19, 1989, President George Herbert Walker Bush ordered the United States Army to organize a cautiously deliberate and well-accomplished attack that ...                See full synopsis »
",Luis Pacheco,18
The MisEducation of Bindu,(2019),"
Comedy            ",92 min,9.1,"
    When a bullied Indian teen forges her mother's signature to test out of high school, she discovers she must pay a test fee by the 7th period, leaving her no choice but to turn to the students she desperately wants to leave.",Prarthana Mohan,16
Drakulics elvtárs,(2019),"
Comedy            ",95 min,6.7,"
    Vampires are among us. But no need to worry: the Hungarian Secret Police are after them, and beyond the usual spy gadgets, they even use garlic to repel the beasts. Hungary in the 70s. ...                See full summary »
",Márk Bodzsár,1172
Los Rodríguez y el más allá,(2019),"
Adventure, Comedy, Family            ",116 min,4.7,"
    The father turns on as a light bulb, the older daughter has super-strength, the younger daughter is capable to be invisible, the grandmother floats and the son is super-intelligent. Definitely this family is from another world.",Paco Arango,288
The Mennonite of the Living Dead,(2019),"
Horror            ",72 min,3.2,"
    Six thirty-somethings try to spice up their stale marriages with a sexy weekend at a secluded cabin. An Amish farmer's corpse is resurrected when a Satanic sex act goes awry, and his murderous rampage stops the orgy dead in its tracks.",Clayton Spinney,37
A Guide to Second Date Sex,(2019),"
Comedy, Romance            ",98 min,5.3,"
    Laura and Ryan have been totally destroyed by previous relationships. In the hope of getting it right this time, they go out on a second date having no idea on what they are supposed to do.",Rachel Hirons,463
Stranger in the Night,(2019),"
Thriller            ",,8.3,"
    Cara is given the ultimatum to uncover a twenty year old missing person case or else her and her friends are going to die.",Aaron Parpart,78
Justice - Verstrickt im Netz der Macht,(2019),"
Crime, Drama, Thriller            ",84 min,3.1,"
    Justice shows the story of the eternal conflict between morality and humanity in the Bank Millieu.",Alexander Dannenberg,9
Mafia Inc,(2019),"
Crime, Drama            ",135 min,7.4,"
    The Gamache, tailors from father to son, have been dressing the Mafia family Paternò for three generation. Vince works on behalf of Frank the godfather with his eldest son Giaco. Vince seeks to earn his stripes by impressing the godfather.",Daniel Grou,294
Collision,(2019),"
Drama            ",117 min,6.7,"
    When an engineers daughter is taken from him, he stops at nothing to reunite them.",Mehdi Avaz,418
Heckle,(2019),"
Comedy, Drama, Horror            ",,6.4,"
    A stand up comedian encounters a seemingly insane heckler, who becomes his stalker. This is a heckle on a whole new level...",Martyn Pick,13
Gates of Darkness,(2019),"
Drama, Horror, Romance            ",91 min,4.7,"
    A dramatic mystery where a a haunted teen endures a terrifying exorcism in the hopes of unlocking shocking secrets about the church and his family.",Don E. FauntLeRoy,61
In the Trap,(2019),"
Horror, Thriller            ",93 min,3.9,"
    Philip, a solitary proof reader, is trapped in his apartment, too afraid to leave and tortured by an unknown evil force that has kept him prisoner for the last two years.",Alessio Liguori,286
