title,year,genre,runtime,rating,synopsis,director,vote
South of Heaven: Episode 2 - The Shadow,(2019),"
Crime            ",88 min,7.0,"
    Jake Darcy, a down on his luck Private detective takes on a job looking for a missing girl. Jake stumbles upon a murder scene and rescues a femme fatale. Drawn into a deadly intrigue, Jake is pursued by a psychotic killer with a vendetta.",Jeff Scott Taylor,5
Shooter,(2019),"
Action, Crime, Drama            ",,6.6,"
    It is a realistic film about poor people based in Mumbai who turn criminals.",Vishram Sawant,23
Never Alone,(I) (2019),"
Drama, Thriller            ",91 min,5.8,"
    A popular Hollywood actress throws a cast party at a remote cabin. When no one shows, she decides to spend a few extra days, but is she really alone?",Jonathan Moch,29
Cesedin Ölümü,(2019),"
Horror            ",72 min,3.6,"
Add a Plot
",Cem Ucar,5
Al Theeb Fi Al Qaleeb,(2019),"
Comedy            ",120 min,7.3,"
    In a comic framework, an accountant is accused of embezzlement and finds himself forced to facing his family members 'contradictory positions on the case while trying to prove his innocence.",Abdullah Al-Mozaini,11
La creciente,(2019),"
Drama            ",70 min,6.5,"
    Matia, a marginal young man, escapes to an island in the River Paraná. In an uncomfortable atmosphere that is not his own, he tries to start a new life, but the tensions his arrival cause ...                See full summary »
",Franco Gonzalez,13
Fim de Festa,(2019),"
Drama            ",94 min,6.6,"
    The carnival is over. A young French woman was brutally murdered in the city of Recife. Officer Breno returns early from his vacation to investigate the crime, surprising his son with three friends staying at his home.",Hilton Lacerda,58
Bir Yalnizlik Sarkisi,(2019),"
Comedy, Drama, Romance            ",79 min,7.4,"
Add a Plot
",Ahmet Levent Pala,7
Ya svoboden,(2019),"
Drama            ",,2.8,"
    17 year old Artyom comes to the seaside summer camp for troubled kids where he tries to start a new life and escape troubles and hard memories.",Ilya Severov,5
Il Ladro di Cardellini,(2019),"
Comedy            ",90 min,3.4,"
    In the Campania countryside, Pasquale Cardinale, an elder ranger, spends his days between alcohol and video poker. To settle the debts he organizes a scam of 200 white pure goldfinches, ...                See full summary »
",Carlo Luglio,17
Glubzhe!,(2019),"
Drama, Comedy            ",90 min,1.0,"
    A manhunt is on for Roman, the last surviving depth specialist. As he evades the hunt, he will save the world.",Mikhail Segal,5
Selfi#Selfie,(2019),"
Comedy, Adventure            ",90 min,5.0,"
    Four tales about selfies and the power of social media, all sharing one common theme: the most important things in life happen in the real world, not in the Internet.",Maksim Boev,9
Verdict,(IV) (2019),"
Mystery            ",78 min,4.3,"
    When Kabir Mehra wakes up, he is lying on the dusty floor of the enclosed room. Unable to understand how he got inside the room, he screams for help. Kabir finds a cell phone which is his ...                See full summary »
",Utkarsh Dev,7
Qin ai de xin nian hao,(2019),"
Drama, Romance            ",113 min,6.3,"
    The story tells about a 35-year old woman who has been struggling in the city for over 10 years. She meets a younger woman who dreams of a life in the city and a 7-years younger colleague ...                See full summary »
",Youlun Peng,27
Used,(2019),"
Drama, Thriller            ",57 min,8.0,"
    Relationship of two sisters entangled them in a dangerous game.",Paresh Vinodray Savani,160
Baal Ki Khaal,(2019),"
Comedy            ",65 min,8.0,"
    A Loving Couple life comes to standstill on discovering a Secret.",Paresh Vinodray Savani,161
Axegrinder 2,(2019),"
Horror            ",80 min,6.6,"
Add a Plot
",Dustin Ferguson,8
Bill Gates,(2019),"
Comedy            ",136 min,4.0,"
    There lived two mischievous boys named 'Pandu' and 'Giri' somewhere in the countryside of Karnataka. While at 8th grade they get punished by their master and he also tells them about the ...                See full summary »
",Srinivasa C. Mandya,10
The Last Days of Capitalism,(2019),"
Drama            ",,9.5,"
Add a Plot
",Adam Mervis,8
Country of Blind,(2019),"
Adventure            ",,7.2,"
    Abhimanyu, an expert mountain climber falls into a strange and isolated society of ""non-seeing"" people - claimed to have been in existence for fifteen generations and cut off from the rest ...                See full summary »
",Rahat Kazmi,8
Piligrim,(2019),"
Thriller            ",,5.7,"
Add a Plot
",Aleksandr Barshak,19
